run_id,variant,fault_id,fault_family,study_scope,ablation_block,hypothesis_id,interpretation_note,faithfulness_label,intensity_level,duration_level,pending_level,train_mode,repeat_idx,seed_idx,run_seed,loadgen_seed,tp,fp,fn,tn,tpr,fpr,precision,recall,f1,mean_lead_time_s,median_lead_time_s,num_scored_alarms,pending_window_s,alarm_fp_fraction,paper_af,paper_at,paper_ntn,paper_nfp,normal_window_ticks,num_alarms_before_fault_on,prediction_target_eval,alarm_time_filter,post_bootstrap_ts,fault_on_ts,slo_proxy_ts,anomaly_quantile_level,som_smooth_k,anomaly_streak,anomaly_quantile,som_kfold,som_rows,som_cols,som_lr,som_sigma,poll_sec,bootstrap_target,expected_bootstrap_vectors,effective_bootstrap_vectors,required_bootstrap_vectors,bootstrap_vectors_ok,coverage_ok,observability_limited,top_feature,top_effect_size,degenerate_features,normal_variance_score,matching_mode,som_model_present,som_metrics_error,som_dim,som_training_steps,som_threshold_saved,som_init_trials,som_selected_fold,som_selected_init,som_validation_accuracy,som_normalization_mode,som_online_clip_mode,som_scale_mean,som_scale_std,som_scale_min,som_scale_max,som_weight_mean,som_weight_std,som_weight_frobenius,som_unit_weight_l2_mean,som_unit_weight_l2_std,som_neighbor_dist_h_mean,som_neighbor_dist_v_mean,som_umatrix_mean,som_quantization_mean_bmu_dist,som_quantization_n_samples
20260329T035726Z-paper_fidelity_anchor-cpu_hog_like-ibase-dbase-wbase-s01-r01,paper_fidelity_anchor,cpu_hog_like,paper_aligned,paper_faithful,decision,H-anchor,Reference paper-faithful-with-proxy anchor.,paper-faithful-with-proxy,base,base,base,fresh_bootstrap,1,1,57602129,57602129,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,60.0,0.0,0.0,0.0,58,0,58,0,injection_onset,before_any_future_fault_start,1774757339.849396,1774757398.199896,,base,5,3,0.85,3,32,32,0.7,4.0,1.0,80,90,90,80,True,True,False,proc_mem_bytes,262144.0,"db_inflight,disk_fill_mb,leak_mb,open_fds_sim,proc_mem_bytes,retry_rate",0.03952173520032612,one_to_one,True,,9,435,8.862138126304277,3,2,0,0.9230769230769231,train_max_100,none,9197343.507546911,26014006.10562216,0.06928571428571428,82776064.0,46.91049515295215,44.641226064323554,6216.645738830165,193.9257072041295,11.563851675325317,3.577048385607786,2.8326549475454903,3.2048516665766384,486.38392521781816,17
20260329T035726Z-paper_fidelity_anchor-cpu_hog_like-ibase-dbase-wbase-s01-r02,paper_fidelity_anchor,cpu_hog_like,paper_aligned,paper_faithful,decision,H-anchor,Reference paper-faithful-with-proxy anchor.,paper-faithful-with-proxy,base,base,base,fresh_bootstrap,2,1,2485422854,2485422854,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,60.0,0.0,0.0,0.0,56,0,56,0,injection_onset,before_any_future_fault_start,1774757609.640351,1774757666.329407,,base,5,3,0.85,3,32,32,0.7,4.0,1.0,80,90,90,80,True,True,False,proc_mem_bytes,32263.87692308426,"db_inflight,disk_fill_mb,leak_mb,open_fds_sim,proc_mem_bytes,retry_rate",0.06078251733483532,one_to_one,True,,9,435,8.21718581266348,3,2,2,0.9230769230769231,train_max_100,none,9183690.076719714,25975388.68174821,0.07343749999999986,82653184.0,45.30218723351151,43.631904958764636,6038.110999866341,187.72004513706645,19.11717395367235,5.162714775670966,6.244591087036826,5.703652931353896,664.0962936235518,27
20260329T035726Z-paper_fidelity_anchor-mem_leak-ibase-dbase-wbase-s01-r01,paper_fidelity_anchor,mem_leak,paper_aligned,paper_faithful,decision,H-anchor,Reference paper-faithful-with-proxy anchor.,paper-faithful-with-proxy,base,base,base,fresh_bootstrap,1,1,3039846409,3039846409,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,60.0,0.0,0.0,0.0,55,0,55,0,injection_onset,before_any_future_fault_start,1774756811.3850749,1774756866.749428,,base,5,3,0.85,3,32,32,0.7,4.0,1.0,80,90,90,80,True,True,False,proc_mem_bytes,275104719.23809534,"db_inflight,disk_fill_mb,open_fds_sim,proc_open_fds,retry_rate",24065668.735922348,one_to_one,True,,9,427,11.533955914804078,3,1,2,0.8148148148148148,train_max_100,none,9213272.421222575,26059059.79825913,0.06690987991639985,82919424.0,45.58507335502739,43.85646212918115,6072.626573158472,188.6840817669749,20.268471506191453,3.964578115283743,2.9792291239627464,3.4719036196232445,62017.513408532075,25
20260329T035726Z-paper_fidelity_anchor-mem_leak-ibase-dbase-wbase-s01-r02,paper_fidelity_anchor,mem_leak,paper_aligned,paper_faithful,decision,H-anchor,Reference paper-faithful-with-proxy anchor.,paper-faithful-with-proxy,base,base,base,fresh_bootstrap,2,1,3830491918,3830491918,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,60.0,0.0,0.0,0.0,56,0,56,0,injection_onset,before_any_future_fault_start,1774757076.801107,1774757132.863956,,base,5,3,0.85,3,32,32,0.7,4.0,1.0,80,90,90,80,True,True,False,proc_mem_bytes,243078563.35238105,"db_inflight,disk_fill_mb,open_fds_sim,retry_rate",24065198.70887024,one_to_one,True,,9,434,8.992377932336614,3,2,0,0.8846153846153846,train_max_100,none,9190971.942211708,25995984.628519632,0.06166666666666672,82718720.0,47.43176343959154,44.83186606123647,6265.548974476454,195.26200836079585,14.483220242980023,1.9087514717504557,2.444459131332821,2.1766053015416382,59483.673391669116,25
20260329T035726Z-screen_smooth_streak-cpu_hog_like-ibase-dbase-wbase-s01-r01,screen_smooth_streak,cpu_hog_like,paper_aligned,extended,decision,H-smooth-streak,Aggressive smoothing/streak vs anchor.,extended-beyond-paper,base,base,base,warm_start,1,1,665970984,665970984,1,131,0,1,1.0,0.9924242424242424,0.007575757575757576,1.0,0.015037593984962407,56.66007947921753,56.66007947921753,132,60.0,0.9924242424242424,1.0,1.0,0,131,3,132,injection_onset,before_any_future_fault_start,1774758275.517938,1774758279.2216902,,base,1,1,0.85,3,32,32,0.7,4.0,1.0,80,90,90,80,True,True,False,proc_mem_bytes,393654155.6850174,"disk_fill_mb,leak_mb,open_fds_sim,retry_rate",554947.3396168243,one_to_one,True,,9,649,8.21718581266348,3,2,2,0.9230769230769231,train_max_100,none,9183690.076719714,25975388.68174821,0.07343749999999986,82653184.0,52.89959796276284,61.61288973280511,7795.835823831979,229.41807625148346,81.96332778570675,5.946086517082678,7.813894992402047,6.879990754742362,18509.41540711904,166
20260329T035726Z-screen_smooth_streak-cpu_hog_like-ibase-dbase-wbase-s01-r02,screen_smooth_streak,cpu_hog_like,paper_aligned,extended,decision,H-smooth-streak,Aggressive smoothing/streak vs anchor.,extended-beyond-paper,base,base,base,warm_start,2,1,1922677847,1922677847,1,183,0,1,1.0,0.9945652173913043,0.005434782608695652,1.0,0.010810810810810811,57.64580941200256,57.64580941200256,184,60.0,0.9945652173913043,1.0,1.0,0,183,2,184,injection_onset,before_any_future_fault_start,1774758476.9626439,1774758479.117114,,base,1,1,0.85,3,32,32,0.7,4.0,1.0,80,90,90,80,True,True,False,proc_mem_bytes,310723056.937112,"disk_fill_mb,leak_mb,open_fds_sim,retry_rate",539080.5710512185,one_to_one,True,,9,717,8.21718581266348,3,2,2,0.9230769230769231,train_max_100,none,9183690.076719714,25975388.68174821,0.07343749999999986,82653184.0,54.50034400412121,68.36305540695896,8393.164674660517,240.5541417682898,104.53639772062144,7.223432811304287,8.471231013453194,7.84733191237874,14085.710925555548,218
20260329T035726Z-screen_smooth_streak-mem_leak-ibase-dbase-wbase-s01-r01,screen_smooth_streak,mem_leak,paper_aligned,extended,decision,H-smooth-streak,Aggressive smoothing/streak vs anchor.,extended-beyond-paper,base,base,base,warm_start,1,1,3186861678,3186861678,1,45,0,1,1.0,0.9782608695652174,0.021739130434782608,1.0,0.042553191489361694,58.397165298461914,58.397165298461914,46,60.0,0.9782608695652174,1.0,1.0,0,45,3,46,injection_onset,before_any_future_fault_start,1774757873.746283,1774757876.923646,,base,1,1,0.85,3,32,32,0.7,4.0,1.0,80,90,90,80,True,True,False,proc_mem_bytes,446320341.75389504,"disk_fill_mb,leak_mb,open_fds_sim,retry_rate",459236.69947731774,one_to_one,True,,9,516,8.21718581266348,3,2,2,0.9230769230769231,train_max_100,none,9183690.076719714,25975388.68174821,0.07343749999999986,82653184.0,55.08569087954335,78.9030295256607,9238.034363227052,251.11017332320284,142.42462401433966,9.964244613684022,10.013281792293629,9.988763202988824,22122.292091711806,71
20260329T035726Z-screen_smooth_streak-mem_leak-ibase-dbase-wbase-s01-r02,screen_smooth_streak,mem_leak,paper_aligned,extended,decision,H-smooth-streak,Aggressive smoothing/streak vs anchor.,extended-beyond-paper,base,base,base,warm_start,2,1,302723809,302723809,1,88,0,1,1.0,0.9887640449438202,0.011235955056179775,1.0,0.02222222222222222,56.00053358078003,56.00053358078003,89,60.0,0.9887640449438202,1.0,1.0,0,88,2,89,injection_onset,before_any_future_fault_start,1774758075.203966,1774758077.7854779,,base,1,1,0.85,3,32,32,0.7,4.0,1.0,80,90,90,80,True,True,False,proc_mem_bytes,528722955.13235545,"disk_fill_mb,leak_mb,open_fds_sim,retry_rate",585051.3763766226,one_to_one,True,,9,582,8.21718581266348,3,2,2,0.9230769230769231,train_max_100,none,9183690.076719714,25975388.68174821,0.07343749999999986,82653184.0,49.387657299690076,51.282016597866324,6834.893871725928,207.66337795862452,49.96793705840433,6.050024961252417,5.505346866907266,5.777685914079842,26001.92612487712,118
20260329T035726Z-screen_threshold-cpu_hog_like-ibase-dbase-wbase-s01-r01,screen_threshold,cpu_hog_like,paper_aligned,extended,decision,H-quantile,Stricter quantile vs anchor.,extended-beyond-paper,base,base,base,warm_start,1,1,2398997715,2398997715,0,290,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,290,60.0,1.0,1.0,0.0,0,290,4,290,injection_onset,before_any_future_fault_start,1774759088.11479,1774759092.35759,,base,5,3,0.95,3,32,32,0.7,4.0,1.0,80,90,90,80,True,True,False,proc_mem_bytes,348901490.07279134,"disk_fill_mb,open_fds_sim,retry_rate",11305130.819203433,one_to_one,True,,9,917,8.21718581266348,3,2,2,0.9230769230769231,train_max_100,none,9183690.076719714,25975388.68174821,0.07343749999999986,82653184.0,413.2594915044953,3034.0446201941363,293957.7399514966,3381.706877038897,8541.07429306265,555.091489414715,570.2371590579376,562.6643242363264,6556.073430081124,322
20260329T035726Z-screen_threshold-cpu_hog_like-ibase-dbase-wbase-s01-r02,screen_threshold,cpu_hog_like,paper_aligned,extended,decision,H-quantile,Stricter quantile vs anchor.,extended-beyond-paper,base,base,base,warm_start,2,1,2789547477,2789547477,0,331,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,331,60.0,1.0,1.0,0.0,0,331,3,331,injection_onset,before_any_future_fault_start,1774759292.79449,1774759296.6954188,,base,5,3,0.95,3,32,32,0.7,4.0,1.0,80,90,90,80,True,True,False,proc_mem_bytes,314360632.28416944,"disk_fill_mb,open_fds_sim,retry_rate",10799393.626374386,one_to_one,True,,9,985,8.21718581266348,3,2,2,0.9230769230769231,train_max_100,none,9183690.076719714,25975388.68174821,0.07343749999999986,82653184.0,411.1824973805646,3031.2584758005496,293665.85147396405,3368.0080243363063,8536.68043723023,554.303513096214,569.0729144230475,561.6882137596307,5928.030058746846,356
